DISTRICT_CODE,DISTRICT_NAME_ENGLISH,DISTRICT_NAME_NEPALI
1,Taplejung,ताप्लेजुङ
2,Panchthar,पाँचथर
3,Ilam,इलाम
4,Jhapa,झापा
5,Morang,मोरङ
6,Sunsari,सुनसरी
7,Dhankuta,धनकुटा
8,Terhathum,तेर्हथुम
9,Sankhuwasabha,संखुवासभा
10,Bhojpur,भोजपुर
11,Solukhumbu,सोलुखुम्बु
12,Okhaldhunga,ओखलढुंगा
13,Khotang,खोटाङ
14,Udayapur,उदयपुर
15,Saptari,सप्तरी
16,Siraha,सिराहा
17,Dhanusa,धनुषा
18,Mahottari,महोत्तरी
19,Sarlahi,सर्लाही
20,Sindhuli,सिन्धुली
21,Ramechhap,रामेछाप
22,Dolakha,दोलखा
23,Sindhupalchok,सिन्धुपाल्चोक
24,Kavrepalanchok,काभ्रेपलाञ्चोक
25,Lalitpur,ललितपुर
26,Bhaktapur,भक्तपुर
27,Kathmandu,काठमाडौं
28,Nuwakot,नुवाकोट
29,Rasuwa,रसुवा
30,Dhading,धादिङ्ग
31,Makwanpur,मकवानपुर
32,Rautahat,रौतहट
33,Bara,बारा
34,Parsa,पर्सा
35,Chitwan,चितवन
36,Gorkha,गोरखा
37,Lamjung,लमजुङ
38,Tanahun,तनहुँ
39,Syangja,स्याङ्जा
40,Kaski,कास्की
41,Manang,मनाङ
42,Mustang,मुस्ताङ
43,Myagdi,म्याग्दी
44,Parbat,पर्वत
45,Baglung,बागलुङ
46,Gulmi,गुल्मी
47,Palpa,पाल्पा
48,Nawalparasi,नवलपरासी
49,Rupandehi,रुपन्देही
50,Kapilvastu,कपिलवस्तु
51,Arghakhanchi,अर्घाखाँची
52,Pyuthan,प्यूठान
53,Rolpa,रोल्पा
54,Rukum,रुकुम
55,Salyan,सल्यान
56,Dang,दाङ
57,Banke,बाँके
58,Bardiya,बर्दिया
59,Surkhet,सुर्खेत
60,Dailekh,दैलेख
61,Jajarkot,जाजरकोट
62,Dolpa,डोल्पा
63,Jumla,जुम्ला
64,Kalikot,कालिकोट
65,Mugu,मुगु
66,Humla,हुम्ला
67,Bajura,बाजुरा
68,Bajhang,बझाङ्ग
69,Achham,अछाम
70,Doti,डोटी
71,Kailali,कैलाली
72,Kanchanpur,कञ्चनपुर
73,Dadeldhura,डडेलधुरा
74,Baitadi,बैतडी
75,Darchula,दार्चुला
