HLCIT_CODE,PROVINCE,LOCAL_BODY_NAME_ENGLISH,LOCAL_BODY_NAME_NEPALI,STATUS_ENGLISH,STATUS_NEPALI,DISTRICT_CODE,DNAME_ENGLISH,DNAME_NEPALI
524 1 01 3 001,1,Phungling,फुङलिङ,Urban Municipality,नगरपालिका,1,Taplejung,ताप्लेजुङ
524 1 01 4 001,1,Phaktanglung,फक्ताङलुङ,Rural Municipality,गाउँपालिका,1,Taplejung,ताप्लेजुङ
524 1 01 4 002,1,Mikwakhola,मिक्वाखोला,Rural Municipality,गाउँपालिका,1,Taplejung,ताप्लेजुङ
524 1 01 4 003,1,Sirijangha,सिरीजङ्घा,Rural Municipality,गाउँपालिका,1,Taplejung,ताप्लेजुङ
524 1 01 4 004,1,Meringden,मेरिङदेन,Rural Municipality,गाउँपालिका,1,Taplejung,ताप्लेजुङ
524 1 01 4 005,1,Maiwakhola,मैवाखोला,Rural Municipality,गाउँपालिका,1,Taplejung,ताप्लेजुङ
524 1 01 4 006,1,Aathrai Tribeni,आठराई त्रिवेणी,Rural Municipality,गाउँपालिका,1,Taplejung,ताप्लेजुङ
524 1 01 4 007,1,Yangwarak,याङवरक,Rural Municipality,गाउँपालिका,1,Taplejung,ताप्लेजुङ
524 1 01 4 008,1,Sidingba,सिदिङ्वा,Rural Municipality,गाउँपालिका,1,Taplejung,ताप्लेजुङ
524 1 02 3 001,1,Phidim,फिदिम,Urban Municipality,नगरपालिका,2,Panchthar,पाँचथर
524 1 02 4 001,1,Hilihang,हिलिहाङ,Rural Municipality,गाउँपालिका,2,Panchthar,पाँचथर
524 1 02 4 002,1,Yangwarak,याङवरक,Rural Municipality,गाउँपालिका,2,Panchthar,पाँचथर
524 1 02 4 003,1,Falelung,फालेलुङ,Rural Municipality,गाउँपालिका,2,Panchthar,पाँचथर
524 1 02 4 004,1,Kummayak,कुम्मायक,Rural Municipality,गाउँपालिका,2,Panchthar,पाँचथर
524 1 02 4 005,1,Falgunanda,फाल्गुनन्द,Rural Municipality,गाउँपालिका,2,Panchthar,पाँचथर
524 1 02 4 006,1,Tumbewa,तुम्वेवा,Rural Municipality,गाउँपालिका,2,Panchthar,पाँचथर
524 1 02 4 007,1,Miklajung,मिक्लाजुङ,Rural Municipality,गाउँपालिका,2,Panchthar,पाँचथर
524 1 03 3 001,1,Deumai,देउमाई,Urban Municipality,नगरपालिका,3,Ilam,इलाम
524 1 03 3 002,1,Ilam,इलाम,Urban Municipality,नगरपालिका,3,Ilam,इलाम
524 1 03 3 003,1,Suryodaya,सूर्योदय,Urban Municipality,नगरपालिका,3,Ilam,इलाम
524 1 03 3 004,1,Mai,माई,Urban Municipality,नगरपालिका,3,Ilam,इलाम
524 1 03 4 001,1,Fakphokthum,फाकफोकथुम,Rural Municipality,गाउँपालिका,3,Ilam,इलाम
524 1 03 4 002,1,Sandakpur,सन्दकपुर,Rural Municipality,गाउँपालिका,3,Ilam,इलाम
524 1 03 4 003,1,Maijogmai,माईजोगमाई,Rural Municipality,गाउँपालिका,3,Ilam,इलाम
524 1 03 4 004,1,Chulachuli,चुलाचुली,Rural Municipality,गाउँपालिका,3,Ilam,इलाम
524 1 03 4 005,1,Mangsebung,माङसेबुङ,Rural Municipality,गाउँपालिका,3,Ilam,इलाम
524 1 03 4 006,1,Rong,रोङ,Rural Municipality,गाउँपालिका,3,Ilam,इलाम
524 1 04 3 001,1,Damak,दमक,Urban Municipality,नगरपालिका,4,Jhapa,झापा
524 1 04 3 002,1,Shivasataxi,शिवसताक्षि,Urban Municipality,नगरपालिका,4,Jhapa,झापा
524 1 04 3 003,1,Kankai,कन्काई,Urban Municipality,नगरपालिका,4,Jhapa,झापा
524 1 04 3 004,1,Arjundhara,अर्जुनधारा,Urban Municipality,नगरपालिका,4,Jhapa,झापा
524 1 04 3 005,1,Mechinagar,मेची नगर,Urban Municipality,नगरपालिका,4,Jhapa,झापा
524 1 04 3 006,1,Gauradaha,गौरादह,Urban Municipality,नगरपालिका,4,Jhapa,झापा
524 1 04 3 007,1,Birtamod,विर्तामोड,Urban Municipality,नगरपालिका,4,Jhapa,झापा
524 1 04 3 008,1,Bhadrapur,भद्रपुर,Urban Municipality,नगरपालिका,4,Jhapa,झापा
524 1 04 4 001,1,Kamal,कमल,Rural Municipality,गाउँपालिका,4,Jhapa,झापा
524 1 04 4 002,1,Buddhashanti,बुद्धशान्ति,Rural Municipality,गाउँपालिका,4,Jhapa,झापा
524 1 04 4 003,1,Gauriganj,गौरीगंज,Rural Municipality,गाउँपालिका,4,Jhapa,झापा
524 1 04 4 004,1,Jhapa,झापा,Rural Municipality,गाउँपालिका,4,Jhapa,झापा
524 1 04 4 005,1,Barhadashi,बाह्रदशी,Rural Municipality,गाउँपालिका,4,Jhapa,झापा
524 1 04 4 006,1,Haldibari,हल्दीवारी,Rural Municipality,गाउँपालिका,4,Jhapa,झापा
524 1 04 4 007,1,Kachankawal,कचनकवल,Rural Municipality,गाउँपालिका,4,Jhapa,झापा
524 1 05 1 001,1,Biratnagar,विराटनगर,Metropolitan City,महानगरपालिका,5,Morang,मोरङ
524 1 05 3 001,1,Letang,लेटाङ,Urban Municipality,नगरपालिका,5,Morang,मोरङ
524 1 05 3 002,1,Sundarharaicha,सुन्दरहरैंचा,Urban Municipality,नगरपालिका,5,Morang,मोरङ
524 1 05 3 003,1,Belbari,बेलवारी,Urban Municipality,नगरपालिका,5,Morang,मोरङ
524 1 05 3 004,1,Pathari Shanishchare,पथरी शनिश्चरे,Urban Municipality,नगरपालिका,5,Morang,मोरङ
524 1 05 3 005,1,Urlabari,उर्लावारी,Urban Municipality,नगरपालिका,5,Morang,मोरङ
524 1 05 3 006,1,Rangeli,रंगेली,Urban Municipality,नगरपालिका,5,Morang,मोरङ
524 1 05 3 007,1,Sunwarshi,सुनवर्षी,Urban Municipality,नगरपालिका,5,Morang,मोरङ
524 1 05 3 008,1,Ratuwamai,रतुवामाई,Urban Municipality,नगरपालिका,5,Morang,मोरङ
524 1 05 4 001,1,Kerabari,केरावारी,Rural Municipality,गाउँपालिका,5,Morang,मोरङ
524 1 05 4 002,1,Miklajung,मिक्लाजुङ,Rural Municipality,गाउँपालिका,5,Morang,मोरङ
524 1 05 4 003,1,Kanepokhari,कानेपोखरी,Rural Municipality,गाउँपालिका,5,Morang,मोरङ
524 1 05 4 004,1,Budhiganga,बुढीगंगा,Rural Municipality,गाउँपालिका,5,Morang,मोरङ
524 1 05 4 005,1,Gramthan,ग्रामथान,Rural Municipality,गाउँपालिका,5,Morang,मोरङ
524 1 05 4 006,1,Katahari,कटहरी,Rural Municipality,गाउँपालिका,5,Morang,मोरङ
524 1 05 4 007,1,Jahada,जहदा,Rural Municipality,गाउँपालिका,5,Morang,मोरङ
