District,Zone,Geographical Region,Region,District_code,VDC_name,VDC_code
Taplejung,Mechi,Mountain,Eastern,1,Ambegudin,1001
Taplejung,Mechi,Mountain,Eastern,1,Ankhop,1002
Taplejung,Mechi,Mountain,Eastern,1,Chaksibote,1003
Taplejung,Mechi,Mountain,Eastern,1,Change,1004
Taplejung,Mechi,Mountain,Eastern,1,Dhungesaghu,1005
Taplejung,Mechi,Mountain,Eastern,1,Dokhu,1006
Taplejung,Mechi,Mountain,Eastern,1,Dummrise,1007
Taplejung,Mechi,Mountain,Eastern,1,Ekhabu,1008
Taplejung,Mechi,Mountain,Eastern,1,Hangdeva,1009
Taplejung,Mechi,Mountain,Eastern,1,Hangpang,1010
Taplejung,Mechi,Mountain,Eastern,1,Kalikhola,1011
Taplejung,Mechi,Mountain,Eastern,1,Khamlung,1012
Taplejung,Mechi,Mountain,Eastern,1,Khejenim,1013
Taplejung,Mechi,Mountain,Eastern,1,Khewang,1014
Taplejung,Mechi,Mountain,Eastern,1,Khokling,1015
Taplejung,Mechi,Mountain,Eastern,1,Lelep,1016
Taplejung,Mechi,Mountain,Eastern,1,Limbudin,1017
Taplejung,Mechi,Mountain,Eastern,1,Lingtep,1018
Taplejung,Mechi,Mountain,Eastern,1,Linkhim,1019
Taplejung,Mechi,Mountain,Eastern,1,Liwang,1020
Taplejung,Mechi,Mountain,Eastern,1,Mamankhe,1021
Taplejung,Mechi,Mountain,Eastern,1,Mehele,1022
Taplejung,Mechi,Mountain,Eastern,1,Nalbu,1023
Taplejung,Mechi,Mountain,Eastern,1,Nankholyang,1024
Taplejung,Mechi,Mountain,Eastern,1,Nidhuradin,1025
Taplejung,Mechi,Mountain,Eastern,1,Olangchunggola,1026
Taplejung,Mechi,Mountain,Eastern,1,Papung,1027
Taplejung,Mechi,Mountain,Eastern,1,Pedang,1028
Taplejung,Mechi,Mountain,Eastern,1,Phakumba,1029
Taplejung,Mechi,Mountain,Eastern,1,Phawakhola,1030
Taplejung,Mechi,Mountain,Eastern,1,Phulbari,1031
Taplejung,Mechi,Mountain,Eastern,1,Phungling,1032
Taplejung,Mechi,Mountain,Eastern,1,Phurumbu,1033
Taplejung,Mechi,Mountain,Eastern,1,Sadewa,1034
Taplejung,Mechi,Mountain,Eastern,1,Sangu,1035
Taplejung,Mechi,Mountain,Eastern,1,Santhakra,1036
Taplejung,Mechi,Mountain,Eastern,1,Sanwa,1037
Taplejung,Mechi,Mountain,Eastern,1,Sawadin,1038
Taplejung,Mechi,Mountain,Eastern,1,Sawalakhu,1039
Taplejung,Mechi,Mountain,Eastern,1,Sikaicha,1040
Taplejung,Mechi,Mountain,Eastern,1,Sinam,1041
Taplejung,Mechi,Mountain,Eastern,1,Surumakhim,1042
Taplejung,Mechi,Mountain,Eastern,1,Tapethok,1043
Taplejung,Mechi,Mountain,Eastern,1,Tellok,1044
